Year,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2025,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
2025,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
2025,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
2025,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
2025,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
2025,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0
2025,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0
2025,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
2025,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0
2025,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1
2025,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0
2025,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
2025,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
2025,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
2025,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
2025,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
2025,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
2025,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
2025,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0
2025,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0
2025,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
2025,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
2025,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0
2025,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
2025,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0
2025,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
2025,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
2025,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0
2025,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1
2025,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1
2025,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0
2025,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0
2025,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0
2025,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
2025,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0
2025,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
2025,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0
2025,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0
2025,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0
2025,15709368,Milne,614,France,Female,43,6,0.0,2,1,1,109041.53,0
2025,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1
2025,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
2025,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0
2025,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
2025,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
2025,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
2025,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
2025,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
2025,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1
2025,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0
2025,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
2025,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0
2025,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0
2025,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
2025,15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0
2025,15774393,Ch'ien,694,France,Female,30,9,0.0,2,1,1,26960.31,0
2025,15787174,Sergeyev,512,France,Female,37,1,0.0,2,0,1,156105.03,0
2025,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
2025,15711540,Pacheco,712,France,Female,29,2,0.0,1,1,1,144375.0,0
2025,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
2025,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
2025,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1
2025,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0
2025,15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
2025,15765297,Yao,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0
2025,15750803,Jess,693,France,Female,30,6,127992.25,1,1,1,50457.2,0
2025,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0
2025,15673481,Morton,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0
2025,15686776,Rossi,557,France,Female,32,6,184686.41,2,1,0,14956.44,0
2025,15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0
2025,15799217,Zetticci,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0
2025,15619955,Bevington,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1
2025,15767339,Chiazagomekpere,777,France,Female,53,10,0.0,2,1,0,189992.97,0
2025,15668893,Wilsmore,782,France,Male,39,8,0.0,2,1,1,33949.67,0
2025,15669169,Hargreaves,775,Spain,Male,29,10,0.0,2,1,1,68143.93,0
2025,15643024,Huang,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1
2025,15626144,Chu,675,France,Male,40,7,113208.86,2,1,0,34577.36,0
2025,15785819,Shao,681,France,Male,38,3,0.0,2,1,1,112491.96,0
2025,15682541,Hartley,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,0
2025,15695699,Calabrese,687,France,Male,35,8,0.0,2,1,0,10334.05,0
2025,15594898,Hewitt,731,France,Male,43,2,0.0,1,1,1,170034.95,1
2025,15797960,Skinner,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0
2025,15666252,Ritchie,706,Spain,Male,42,9,0.0,2,1,1,28714.34,0
2025,15624528,L?,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,0
2025,15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
2025,15745844,Kerr,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1
2025,15786170,Tien,659,France,Male,31,4,118342.26,1,0,0,161574.19,0
2025,15681081,Marrero,545,Spain,Female,47,5,0.0,2,1,1,38970.14,0
2025,15684484,White,543,France,Male,22,8,0.0,2,0,0,127587.22,0
2025,15763859,Brown,840,France,Female,43,7,0.0,2,1,0,90908.95,0
2025,15777352,Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0
2025,15592386,Campbell,520,France,Male,58,3,0.0,2,0,1,32790.02,0
2025,15696674,Robinson,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
2025,15706365,Bianchi,648,France,Female,50,9,102535.57,1,1,1,189543.19,0
2025,15745088,Chen,443,Germany,Female,29,9,99027.61,2,1,0,10940.4,0
